Unnamed: 0,sq_mt_built,n_rooms,n_bathrooms,street_name,street_number,floor,is_floor_under,neighborhood_id,operation,buy_price,buy_price_by_area,house_type_id,is_renewal_needed,is_new_development,built_year,has_central_heating,has_individual_heating,has_ac,has_fitted_wardrobes,has_lift,is_exterior,has_garden,has_pool,has_terrace,has_balcony,has_storage_room,is_accessible,has_green_zones,has_parking,is_parking_included_in_price,parking_price,is_orientation_north,is_orientation_west,is_orientation_south,is_orientation_east
7490,835.0,7,7.0,Brak,Brak,2,0,Neighborhood 75: Ciudad Universitaria (3810.08 €/m2) - District 11: Moncloa,sale,2490000,2982,HouseType 2: Casa o chalet,1,0,1990.0,0,1,1,1,0,0,1,1,1,0,1,0,0,1,1,0.0,0,0,0,0
7491,120.0,3,2.0,Calle Tremp,9,1,0,Neighborhood 75: Ciudad Universitaria (3810.08 €/m2) - District 11: Moncloa,sale,490000,4083,HouseType 1: Pisos,0,0,1970.0,0,0,0,0,1,1,0,0,0,0,1,0,1,1,1,0.0,0,0,0,0
7492,72.0,3,1.0,Calle valdesangil,Brak,5,0,Neighborhood 77: Valdezarza (2951.77 €/m2) - District 11: Moncloa,sale,285000,3958,HouseType 1: Pisos,0,0,1970.0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0.0,0,0,0,0
7493,90.0,1,1.0,Calle Aguaron,23,1,0,Neighborhood 78: Valdemarín (4249.04 €/m2) - District 11: Moncloa,sale,390000,4333,HouseType 1: Pisos,0,0,2006.0,0,0,1,1,1,1,0,1,0,0,1,0,1,1,1,0.0,0,0,0,1
7494,165.0,6,3.0,Calle del Marqués de Urquijo,29,5,0,Neighborhood 73: Argüelles (4807.69 €/m2) - District 11: Moncloa,sale,675000,4091,HouseType 1: Pisos,1,0,1970.0,1,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0.0,1,1,0,0
7495,59.0,1,1.0,Avenida de Juan Andrés,45,7,0,Neighborhood 77: Valdezarza (2951.77 €/m2) - District 11: Moncloa,sale,350000,5932,HouseType 1: Pisos,0,0,1998.0,0,1,1,1,1,1,0,1,0,0,0,0,0,1,1,0.0,0,0,0,0
7496,79.0,2,1.0,Calle de la Princesa,3,1,0,Neighborhood 73: Argüelles (4807.69 €/m2) - District 11: Moncloa,sale,530000,6709,HouseType 5: Áticos,1,0,1970.0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.0,0,1,0,0
7497,65.0,1,1.0,Plaza Nuestra Señora del Buen Camino,11,2,0,Neighborhood 72: Aravaca (3600.4 €/m2) - District 11: Moncloa,sale,299000,4600,HouseType 1: Pisos,0,0,1970.0,0,0,1,1,1,1,0,0,0,0,1,0,0,1,1,0.0,1,0,0,0
7498,360.0,5,4.0,Calle Arandilla,4,2,0,Neighborhood 72: Aravaca (3600.4 €/m2) - District 11: Moncloa,sale,980000,2722,HouseType 2: Casa o chalet,0,0,1970.0,0,0,1,1,0,0,1,1,1,0,1,0,0,1,1,0.0,0,0,1,0
7499,66.0,0,2.0,Avenida de Valladolid,53,0,1,Neighborhood 74: Casa de Campo (3630.68 €/m2) - District 11: Moncloa,sale,298000,4515,,1,0,1970.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0
7500,90.0,3,1.0,Brak,Brak,4,0,Neighborhood 75: Ciudad Universitaria (3810.08 €/m2) - District 11: Moncloa,sale,350000,3889,HouseType 1: Pisos,1,0,1970.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0
7501,39.0,0,1.0,Calle de Martín de los Heros,Brak,2,0,Neighborhood 73: Argüelles (4807.69 €/m2) - District 11: Moncloa,sale,347000,8897,,0,0,1970.0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0.0,1,0,0,1
7502,135.0,4,2.0,Calle de Romero Robledo,3,4,0,Neighborhood 73: Argüelles (4807.69 €/m2) - District 11: Moncloa,sale,725000,5370,HouseType 1: Pisos,0,0,1970.0,0,0,0,1,1,1,0,0,1,1,0,0,0,1,1,0.0,1,1,0,0
7503,104.0,2,2.0,Calle Aguaron,31,1,0,Neighborhood 78: Valdemarín (4249.04 €/m2) - District 11: Moncloa,sale,435000,4183,HouseType 1: Pisos,0,0,1970.0,0,1,1,1,1,1,0,1,0,0,1,0,1,1,1,0.0,0,0,0,0
7504,64.0,3,1.0,Calle de la Princesa,Brak,5,0,Neighborhood 73: Argüelles (4807.69 €/m2) - District 11: Moncloa,sale,380000,5938,HouseType 1: Pisos,1,0,1940.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0,1,0,0
7505,340.0,5,5.0,Urb. LA FLORIDA,Brak,2,0,Neighborhood 76: El Plantío (2569.96 €/m2) - District 11: Moncloa,sale,2000000,5882,HouseType 2: Casa o chalet,0,0,1970.0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0.0,0,0,0,0
7506,144.0,3,3.0,Brak,Brak,1,0,Neighborhood 72: Aravaca (3600.4 €/m2) - District 11: Moncloa,sale,790000,5486,HouseType 1: Pisos,0,0,1970.0,0,0,1,0,1,1,0,1,0,0,1,0,1,1,1,0.0,0,0,0,0
